,CPI,M2,CPI_Growth,M2_Growth
1959-06-30,29.043333333333333,292.1333333333334,0.17230490737030202,1.4828710134578316
1959-09-30,29.19333333333333,296.09999999999997,0.5151405130056741,1.3486916054342935
1959-12-31,29.37,297.1333333333334,0.6033372505386492,0.348373673680058
1960-03-31,29.396666666666665,298.6333333333333,0.0907544021450768,0.5035539091077013
1960-06-30,29.573333333333334,301.09999999999997,0.5991765142022043,0.822592455226534
1960-09-30,29.59,306.46666666666664,0.056341203811660634,1.7666559216329425
1960-12-31,29.78,310.93333333333334,0.6400560843744518,1.4469532224100412
1961-03-31,29.84,316.3,0.2012748079697424,1.7112603383485414
1961-06-30,29.83,322.1333333333333,-0.03351768089032703,1.8274408200837478
1961-09-30,29.94666666666667,327.56666666666666,0.3903423235421144,1.6726058187830795
1961-12-31,29.99,333.3333333333333,0.14459709988394742,1.7451393613756139
1962-03-31,30.106666666666666,340.23333333333335,0.38826384123793467,2.0488666427315394
1962-06-30,30.22,347.43333333333334,0.37573256712963854,2.0941143335823753
1962-09-30,30.30666666666667,352.8333333333333,0.2863753471639363,1.542300182964329
1962-12-31,30.38,359.90000000000003,0.2416786851394015,1.9830413178175021
1963-03-31,30.47666666666667,367.93333333333334,0.3176866340598661,2.207554725230576
1963-06-30,30.53333333333333,375.93333333333334,0.1857619503749408,2.1510060367680772
1963-09-30,30.72,383.56666666666666,0.6094925267496443,2.0101620456331126
1963-12-31,30.80333333333333,391.0,0.27090009523678127,1.9194116824063023
1964-03-31,30.930000000000003,397.5333333333333,0.4103677465139288,1.6571228035529906
1964-06-30,30.98,404.3333333333333,0.1615248291744198,1.6960832255044522
1964-09-30,31.05,413.4666666666667,0.225697339076536,2.2337278282243744
1964-12-31,31.19333333333333,421.93333333333334,0.4605588390472537,2.0270425114911284
1965-03-31,31.290000000000003,430.3666666666666,0.3094160910830368,1.9790234839467402
1965-06-30,31.49,437.5333333333333,0.6371477432142392,1.6515334858949515
1965-09-30,31.583333333333332,446.06666666666666,0.2959520181492703,1.9315524309094556
1965-12-31,31.75,455.8333333333333,0.5263170044274901,2.165882794741947
1966-03-31,32.04666666666666,464.59999999999997,0.9300448459003796,1.9049574708282613
1966-06-30,32.336666666666666,470.2,0.9008603507377977,1.198131576966066
1966-09-30,32.61666666666667,472.9666666666667,0.8621627868893089,0.5866777739188755
1966-12-31,32.88333333333333,477.73333333333335,0.8142538626538798,1.0027782917530814
1967-03-31,32.96666666666667,485.4666666666667,0.2531006160042093,1.6057930870479353
1967-06-30,33.166666666666664,497.09999999999997,0.6048405535880708,2.3680585467458215
1967-09-30,33.5,510.6000000000001,1.0000083334583465,2.679529170675732
1967-12-31,33.86666666666667,521.4,1.0885807645251155,2.09309966920177
1968-03-31,34.199999999999996,530.3333333333334,0.9794397592287396,1.6988238170275949
1968-06-30,34.53333333333333,539.0666666666667,0.9699397088713813,1.6333509428828386
1968-09-30,35.0,549.5333333333333,1.3423020332140378,1.9230184112511317
1968-12-31,35.43333333333333,562.2666666666667,1.2304935190378785,2.2906799993277716
1969-03-31,35.86666666666667,571.8666666666667,1.2155362379782098,1.6929630770320614
1969-06-30,36.43333333333333,576.9,1.5675747454808597,0.8763077288228338
1969-09-30,36.93333333333333,580.5666666666667,1.3630379130690873,0.6335696806785585
1969-12-31,37.5,585.5666666666666,1.5226447331291304,0.8575401281597728
1970-03-31,38.1,587.7333333333332,1.5873349156290129,0.3693290939258631
1970-06-30,38.63333333333333,591.6999999999999,1.3901179544940856,0.6726419392162342
1970-09-30,39.03333333333333,605.0666666666667,1.0300520257965573,2.233889511487419
1970-12-31,39.6,621.3333333333334,1.4413136324872955,2.6529061779904772
1971-03-31,39.93333333333333,641.2666666666667,0.8382278752804506,3.157768047297793
1971-06-30,40.300000000000004,666.0333333333333,0.9140071939398364,3.789433228757222
1971-09-30,40.699999999999996,685.8666666666667,0.9876623495911563,2.9343526037212797
1971-12-31,41.0,704.4333333333334,0.7343974255758834,2.671045172480646
1972-03-31,41.333333333333336,725.6333333333333,0.8097210232619112,2.9651139638784407
1972-06-30,41.6,743.8000000000001,0.6430890330290762,2.472734475218896
1972-09-30,41.93333333333333,768.8333333333334,0.7980888331012626,3.3102032838795203
1972-12-31,42.36666666666667,794.3666666666667,1.0280833929068312,3.267093713144309
1973-03-31,43.03333333333333,813.2333333333332,1.5613119657188257,2.3472919779186086
1973-06-30,43.93333333333334,826.6,2.069832421581008,1.6302830837237714
1973-09-30,44.800000000000004,838.1999999999999,1.9534806020642392,1.393583341333926
1973-12-31,45.93333333333334,849.0,2.4982930490509148,1.2802450820376343
1974-03-31,47.29999999999999,864.6666666666666,2.9319225586438513,1.8284889896931666
1974-06-30,48.56666666666666,875.1,2.642712903516209,1.199408933350643
1974-09-30,49.93333333333334,884.4666666666667,2.775135788196037,1.0646661272921243
1974-12-31,51.46666666666667,898.0,3.024556650755672,1.5185241487492895
1975-03-31,52.56666666666666,915.1333333333333,2.114785637831673,1.8899705847249315
1975-06-30,53.199999999999996,948.6666666666666,1.1976191046715545,3.5987715832238365
1975-09-30,54.26666666666667,983.2333333333332,1.9851768552731741,3.578897059753494
1975-12-31,55.26666666666667,1006.9666666666667,1.8259789132754278,2.3851329969489576
1976-03-31,55.9,1038.9666666666665,1.1394426127968593,3.1284117905618913
1976-06-30,56.4,1070.1666666666667,0.8904778342960107,2.9587770111662692
1976-09-30,57.300000000000004,1098.6000000000001,1.5831465216680662,2.6222242342526236
1976-12-31,58.13333333333333,1138.3999999999999,1.4438599086075143,3.5587125867122538
1977-03-31,59.199999999999996,1177.1000000000001,1.8182319083190457,3.343001864279227
1977-06-30,60.23333333333333,1208.8,1.7304367040113178,2.65743455400953
1977-09-30,61.06666666666666,1236.6333333333334,1.3740254641847471,2.2764501433672812
1977-12-31,61.96666666666667,1262.2333333333333,1.4630442487368,2.0490005324877103
1978-03-31,63.03333333333333,1285.8,1.706708093701348,1.8498453990506647
1978-06-30,64.46666666666667,1309.8,2.248460735478286,1.8493361076366455
1978-09-30,65.96666666666667,1334.2,2.30012695893258,1.845740749146163
1978-12-31,67.5,1359.1333333333332,2.297803393807385,1.8515380419514393
1979-03-31,69.2,1379.0666666666666,2.4873264745139956,1.45597001406097
1979-06-30,71.39999999999999,1411.7666666666667,3.1297006721914045,2.3434933326251794
1979-09-30,73.7,1445.1666666666667,3.170492984975315,2.338277998731453
1979-12-31,76.03333333333335,1466.6666666666667,3.1169041426941213,1.4767597089138107
1980-03-31,79.03333333333333,1492.3666666666668,3.869786378101736,1.7370974471131895
1980-06-30,81.7,1514.5666666666666,3.3184297462707235,1.4766142717251185
1980-09-30,83.23333333333333,1560.3333333333333,1.8593906751660505,2.9770104205334214
1980-12-31,85.56666666666666,1593.4666666666665,2.7647890591366853,2.1012462692655554
1981-03-31,87.93333333333334,1620.7333333333333,2.7283152406120337,1.69667853725608
1981-06-30,89.76666666666667,1664.5666666666666,2.06347595343388,2.668610758352763
1981-09-30,92.26666666666667,1694.0666666666666,2.7469223925961295,1.7567120741732722
1981-12-31,93.76666666666667,1737.8,1.6126491752296523,2.548799538266877
1982-03-31,94.60000000000001,1777.1333333333332,0.8848049230131494,2.238163376158564
1982-06-30,95.96666666666665,1815.1000000000001,1.4343432892187202,2.1138983433240277
1982-09-30,97.63333333333333,1845.0333333333335,1.7218056215558164,1.6356781558827471
1982-12-31,97.93333333333334,1886.4333333333334,0.3068009906089131,2.219057681032588
1983-03-31,98.0,1990.4666666666665,0.06805035989048136,5.36811961198973
1983-06-30,99.13333333333333,2041.7333333333333,1.1498266687372194,2.5430003183960714
1983-09-30,100.10000000000001,2074.0,0.9703940963230906,1.5679989516529602
1983-12-31,101.10000000000001,2111.6666666666665,0.994043970525027,1.799841529765711
1984-03-31,102.53333333333335,2157.2,1.4077822936953588,2.133355937594228
1984-06-30,103.5,2203.633333333333,0.9383663742044135,2.129642878334881
1984-09-30,104.39999999999999,2232.766666666667,0.8658062743115202,1.3133960925999943
1984-12-31,105.3,2282.2333333333336,0.8583743691390922,2.1913021511229758
1985-03-31,106.26666666666667,2350.9,0.9138239108020585,2.9643737860325814
1985-06-30,107.23333333333333,2392.5,0.9055487328921252,1.7540610783132848
1985-09-30,107.89999999999999,2443.2999999999997,0.6197726687217298,2.1010740227614733
1985-12-31,109.0,2479.2999999999997,1.0143009965054794,1.4626677697482826
1986-03-31,109.56666666666666,2516.0333333333333,0.5185309772920199,1.4707325023023188
1986-06-30,109.03333333333335,2582.5333333333333,-0.4879546125835077,2.608724202474466
1986-09-30,109.7,2646.9666666666667,0.60957214049564,2.464350097540091
1986-12-31,110.46666666666665,2705.566666666667,0.6964449043167953,2.1897048666888352
1987-03-31,111.8,2748.366666666667,1.1997744396645693,1.5695416872540058
1987-06-30,113.06666666666666,2771.7333333333336,1.126605452863938,0.8466080771263762
1987-09-30,114.26666666666667,2788.9,1.0557282805876866,0.6174376253397007
1987-12-31,115.33333333333333,2820.0333333333333,0.9291588334099821,1.110145235380422
1988-03-31,116.23333333333333,2869.5,0.7773178623881272,1.7389093355148155
1988-06-30,117.56666666666666,2925.0333333333333,1.1405883560400731,1.9168078064001115
1988-09-30,119.0,2952.0333333333333,1.211794453763293,0.9188321823777379
